year,city,country,city_avg_temp,7yr Moving Average (NYC),global_avg_temp,7yr Moving Average (World),,New York Descriptive Stats,,Global Descriptive Stats,
1750,New York,United States,10.07,,8.72,,,,,,
1751,New York,United States,10.79,,7.98,,,Mean,9.486882129,Mean,8.359393939
1752,New York,United States,2.81,,5.78,,,Standard Error,0.067784607,Standard Error,0.035400142
1753,New York,United States,9.52,,8.39,,,Median,9.55,Median,8.365
1754,New York,United States,9.88,,8.47,,,Mode,9.1,Mode,7.98
1755,New York,United States,6.61,,8.36,,,Standard Deviation,1.099281589,Standard Deviation,0.575184226
1756,New York,United States,9.94,,8.85,,,Sample Variance,1.208420013,Sample Variance,0.330836894
1757,New York,United States,8.89,,9.02,,,Kurtosis,23.14761671,Kurtosis,1.655240749
1758,New York,United States,8.15,,6.74,,,Skewness,-3.079045959,Skewness,-0.441596319
1759,New York,United States,9.01,8.57,7.99,8.03,,Range,11.91,Range,3.95
1760,New York,United States,7.73,8.33,7.19,7.88,,Minimum,0.25,Minimum,5.78
1761,New York,United States,10.18,8.27,8.77,7.96,,Maximum,12.16,Maximum,9.73
1762,New York,United States,9.55,8.95,8.61,8.24,,Sum,2495.05,Sum,2206.88
1763,New York,United States,7.23,8.72,7.5,8.15,,Count,263,Count,264
1764,New York,United States,9.55,8.68,8.4,8.14,,,,,
1765,New York,United States,8.96,8.92,8.25,8.13,,,,,
1766,New York,United States,10.09,8.93,8.41,8.09,,,,,
1767,New York,United States,8.52,8.90,8.22,8.01,,,,,
1768,New York,United States,8.67,8.95,6.78,8.01,,,,,
1769,New York,United States,9.1,8.96,7.69,7.98,,,,,
1770,New York,United States,9.04,9.09,7.69,8.03,,,,,
1771,New York,United States,10.18,9.09,7.85,7.94,,,,,
1772,New York,United States,9.64,9.10,8.19,7.90,,,,,
1773,New York,United States,10.08,9.38,8.22,7.97,,,,,
1774,New York,United States,9.52,9.38,8.77,8.01,,,,,
1775,New York,United States,10.24,9.51,9.18,8.10,,,,,
1776,New York,United States,9.13,9.41,8.3,8.09,,,,,
1777,New York,United States,8.77,9.44,8.26,8.09,,,,,
1778,New York,United States,6.89,9.26,8.54,8.27,,,,,
1779,New York,United States,0.25,8.37,8.98,8.40,,,,,
1780,New York,United States,,8.30,9.43,8.57,,,,,
1781,New York,United States,9.79,8.26,8.1,8.60,,,,,
1782,New York,United States,9.15,8.20,7.9,8.57,,,,,
1783,New York,United States,8.81,8.06,7.68,8.51,,,,,
1784,New York,United States,8.4,7.94,7.86,8.42,,,,,
1785,New York,United States,8.49,7.74,7.36,8.24,,,,,
